bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,house_age,renovation_age,is_renovated,total_rooms,living_ratio,basement_ratio
3,1.5,1310,8160,1.0,0,0,3,7,1310,0,1950,0,98133,47.7291,-122.339,1090,7560,76,0,0,4.5,0.1605392156862745,0.0
3,2.25,2100,8201,1.0,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712,59,0,0,5.25,0.2560663333739787,0.2285714285714285
3,2.0,2870,6360,1.5,0,1,4,8,1790,1080,1946,0,98115,47.6813,-122.275,2310,6466,80,0,0,5.0,0.4512578616352201,0.3763066202090592
4,3.0,2290,5105,2.0,0,0,3,8,2290,0,2012,0,98028,47.7727,-122.237,2450,5105,14,0,0,7.0,0.4485798237022527,0.0
2,1.0,730,5040,1.0,0,0,3,6,730,0,1927,0,98126,47.5387,-122.374,790,5040,99,0,0,3.0,0.1448412698412698,0.0
2,1.75,1930,4601,1.0,0,0,3,8,1930,0,2006,0,98053,47.7196,-122.022,1670,4500,20,0,0,3.75,0.419474027385351,0.0
2,1.0,1030,4188,1.0,0,0,3,8,1030,0,1981,0,98038,47.3738,-122.057,1450,3376,45,0,0,3.0,0.2459407831900668,0.0
3,1.0,1430,4240,1.5,0,0,3,7,1430,0,1924,0,98103,47.6595,-122.337,1660,4240,102,0,0,4.0,0.3372641509433962,0.0
3,1.75,1560,8968,1.0,0,0,4,8,1560,0,1972,0,98008,47.6243,-122.1,1990,8034,54,0,0,4.75,0.1739518287243532,0.0
3,1.75,1150,9600,1.0,0,0,3,7,1150,0,1979,0,98045,47.4434,-121.774,1520,9976,47,0,0,4.75,0.1197916666666666,0.0
4,2.75,2620,13777,1.5,0,2,4,9,1720,900,1926,0,98144,47.58,-122.285,3530,9287,100,0,0,6.75,0.1901720258401684,0.3435114503816794
4,3.5,3070,4684,2.0,0,0,3,10,2190,880,2009,0,98027,47.5316,-122.076,2290,2664,17,0,0,7.5,0.6554227156276686,0.2866449511400651
5,2.25,2100,6936,1.0,0,0,3,8,1600,500,1974,0,98033,47.6737,-122.169,2100,8661,52,0,0,7.25,0.3027681660899654,0.238095238095238
4,2.25,1677,3600,2.0,0,0,3,7,1677,0,2012,0,98092,47.32,-122.178,1677,3600,14,0,0,6.25,0.4658333333333333,0.0
3,1.0,1010,10168,1.0,0,0,3,6,1010,0,1979,0,98014,47.6453,-121.912,1180,10318,47,0,0,4.0,0.0993312352478363,0.0
4,1.0,1260,7800,1.5,0,0,3,7,1260,0,1947,2007,98125,47.7334,-122.307,1639,7492,79,19,1,5.0,0.1615384615384615,0.0
2,1.75,910,2693,1.0,0,0,3,6,910,0,2003,0,98038,47.3493,-122.025,1360,2693,23,0,0,3.75,0.3379131080579279,0.0
3,1.0,1710,6556,1.5,0,0,4,7,1200,510,1926,0,98133,47.7185,-122.354,1410,6563,100,0,0,4.0,0.260829774252593,0.2982456140350877
3,1.75,1830,9720,1.0,0,1,3,7,1150,680,1928,1976,98040,47.5511,-122.23,3380,10854,98,50,1,4.75,0.1882716049382716,0.3715846994535519
3,1.75,1300,12378,1.0,0,0,4,6,1300,0,1943,0,98045,47.4996,-121.778,1300,11596,83,0,0,4.75,0.1050250444336726,0.0
