source,target,distance_km
0,6008,0.044478
0,16029,0.055597
0,5519,0.075925
0,2266,0.082181
0,5138,0.164361
1,15618,0.075627
1,12369,0.081906
1,1998,0.134016
1,18423,0.134016
1,327,0.152972
2,4738,0.143364
2,13409,0.144553
2,14952,0.149975
2,10322,0.168603
2,12362,0.19321
3,3421,0.055597
3,4719,0.066717
3,13897,0.208451
3,13603,0.261827
3,15381,0.266545
4,5446,0.011119
4,7071,0.082043
4,10245,0.088956
4,4898,0.116324
4,254,0.216119
5,11778,0.143684
5,11009,0.180975
5,11117,0.233217
5,17530,0.243048
5,18085,0.28803
6,506,0.078469
6,10136,0.156938
6,16173,0.200151
6,15959,0.266589
6,14748,0.449924
7,14647,0.044478
7,1937,0.134183
7,18237,0.156657
7,3730,0.193709
7,8230,0.242237
8,7551,0.077836
8,13589,0.100612
8,16489,0.122314
8,3356,0.134298
8,11010,0.155673
9,4000,0.087178
9,3985,0.153057
9,5401,0.23469
9,5990,0.241286
9,8084,0.286931
10,18949,0.143399
10,7254,0.153372
10,2160,0.228912
10,1464,0.258929
10,13968,0.2868
11,7278,0.066717
11,9866,0.152947
11,2987,0.172691
11,1641,0.192979
11,5123,0.224542
12,2135,0.22239
12,1858,0.224175
12,12883,0.23797
12,7342,0.3161
12,9444,0.325669
13,7170,0.0757
13,16515,0.108006
13,6881,0.149757
13,13392,0.153007
13,16057,0.153428
14,283,0.033358
14,14542,0.07502
14,12107,0.087214
14,12064,0.125072
14,15364,0.125073
15,8033,0.075618
15,20335,0.299183
15,19204,0.302472
15,3943,0.308199
15,14873,0.319181
16,6663,0.08198
16,303,0.186538
16,16730,0.237759
16,12564,0.241175
16,1684,0.255799
17,994,0.100075
17,15294,0.125297
17,1782,0.125298
17,8705,0.20135
17,17935,0.226186
18,13484,0.055597
18,1150,0.116586
18,11970,0.125276
18,19471,0.15235
18,1063,0.157143
19,14856,0.13403
19,13833,0.172724
19,2491,0.193009
19,15099,0.224095
19,13499,0.234642
20,14514,0.125283
20,5365,0.169651
20,4232,0.180934
20,18076,0.200151
20,13774,0.216696
21,7398,0.189031
21,6263,0.224299
21,16137,0.250521
21,7836,0.277297
21,18357,0.277297
22,11624,0.088956
22,9568,0.331141
22,15113,0.355899
22,9481,0.381127
22,3297,0.399461
23,9510,0.022239
23,1908,0.116612
23,9990,0.152433
23,1903,0.160725
23,6169,0.180986
24,7235,0.055597
24,9857,0.087131
24,12529,0.208208
24,15003,0.213714
24,11061,0.225046
25,19181,0.093317
25,1450,0.261457
25,5996,0.293743
25,5952,0.298664
25,5119,0.306081
26,5780,0.055597
26,6962,0.066717
26,17416,0.075664
26,12505,0.081941
26,10730,0.088956
27,19277,0.107969
27,4336,0.116241
27,13821,0.14965
27,4887,0.159645
27,11403,0.168683
28,18230,0.011119
28,15030,0.075066
28,9424,0.088956
28,15570,0.111195
28,10403,0.134162
29,11110,0.0
29,3347,0.0
29,12827,0.150005
29,7930,0.234631
29,15668,0.277315
30,3320,0.134047
30,960,0.193021
30,12361,0.193331
30,11056,0.213693
30,16013,0.224583
31,12784,0.022239
31,5260,0.033358
31,17193,0.033358
31,13070,0.087069
31,19614,0.093241
32,18450,0.100075
32,3354,0.274159
32,10073,0.280622
32,17585,0.287375
32,13237,0.302746
33,4418,0.066717
33,15051,0.075682
33,17327,0.093248
33,10168,0.093248
33,2288,0.116264
34,13517,0.088956
34,3783,0.162802
34,5974,0.250679
34,8671,0.258979
34,18564,0.277416
35,9938,0.022239
35,13716,0.087092
35,20076,0.144553
35,11718,0.149757
35,2545,0.159743
36,6394,0.093649
36,7650,0.111195
36,11784,0.154366
36,9983,0.216678
36,13523,0.226078
37,10848,0.066717
37,18501,0.100439
37,10255,0.287947
37,20354,0.303591
37,19162,0.310238
38,4680,0.074958
38,4930,0.298666
38,11376,0.375109
38,7858,0.483654
38,14431,0.501088
39,7984,0.177912
39,6403,0.308115
39,1037,0.313679
39,59,0.332779
39,8255,0.349483
40,8948,0.011119
40,4601,0.011119
40,9407,0.022239
40,2672,0.044478
40,8157,0.055597
41,3274,0.172762
41,11757,0.227221
41,13644,0.241724
41,3614,0.24603
41,15003,0.246034
42,5953,0.100526
42,149,0.100527
42,14071,0.153163
42,12745,0.166792
42,2546,0.172882
43,5402,0.044478
43,17614,0.081876
43,9176,0.087001
43,2152,0.122314
43,3919,0.166792
44,549,0.044478
44,4685,0.07861
44,15180,0.08754
44,2944,0.088956
44,8419,0.100678
45,10155,0.078181
45,5203,0.082039
45,7110,0.153569
45,12922,0.177912
45,4512,0.180237
46,2179,0.081961
46,2721,0.100075
46,2458,0.100075
46,148,0.100279
46,16731,0.156197
47,12685,0.022239
47,6709,0.22239
47,3768,0.241597
47,11306,0.287986
47,2156,0.325916
48,14079,0.093466
48,2555,0.108181
48,3617,0.200956
48,5842,0.203415
48,17651,0.224232
49,14447,0.033358
49,7118,0.081959
49,4171,0.081959
49,14502,0.122314
49,17992,0.124979
50,111,0.116249
50,20399,0.163871
50,18652,0.163871
50,7927,0.166792
50,19313,0.180048
51,16868,0.143423
51,1003,0.255824
51,9715,0.273353
51,6809,0.2879
51,14229,0.306032
52,52,0.0
52,5992,0.077836
52,12238,0.234662
52,3026,0.306029
52,14297,0.309426
53,4345,0.0
53,10694,0.075313
53,8262,0.087467
53,12995,0.100615
53,12979,0.108308
54,7184,0.033358
54,15320,0.224739
54,11892,0.228389
54,16309,0.245354
54,3417,0.317438
55,15169,0.078224
55,10488,0.133434
55,1563,0.149992
55,11959,0.155673
55,16020,0.216177
56,9192,0.022239
56,16695,0.033358
56,20092,0.108169
56,19096,0.153123
56,9861,0.153886
57,6213,0.076035
57,6608,0.18707
57,15360,0.189031
57,5170,0.22426
57,3012,0.298732
58,2780,0.088956
58,17136,0.116491
58,2801,0.144553
58,7142,0.154081
58,11087,0.166792
59,12463,0.044478
59,8255,0.100532
59,6329,0.152044
59,16444,0.182963
59,7984,0.235269
60,19873,0.0
60,18426,0.100282
60,17248,0.100282
60,420,0.193344
60,5447,0.193344
61,4436,0.044478
61,9755,0.100075
61,9796,0.111195
61,6001,0.125038
61,9847,0.134104
62,9064,0.055597
62,2204,0.082098
62,18135,0.100391
62,15584,0.108101
62,8120,0.182886
63,14633,0.022239
63,3268,0.100384
63,17917,0.125064
63,2320,0.159982
63,1045,0.193076
64,7587,0.044478
64,16890,0.078567
64,15522,0.108336
64,14340,0.108337
64,19255,0.21127
65,5301,0.093616
65,11200,0.122314
65,6230,0.164751
65,13284,0.203485
65,3404,0.213853
66,2187,0.077836
66,7908,0.448389
66,5244,0.46642
66,17864,0.48397
66,3371,0.518272
67,3866,0.081887
67,429,0.107941
67,11920,0.143365
67,16615,0.21127
67,7134,0.228716
68,5763,0.107959
68,4753,0.224067
68,19542,0.237547
68,20247,0.237547
68,18964,0.241419
69,3258,0.0
69,1061,0.093618
69,10048,0.10062
69,15269,0.108314
69,11597,0.133434
70,12203,0.717399
70,5798,0.720783
70,12413,0.756126
70,5427,0.811723
70,16715,0.837357
71,772,0.354599
71,5506,0.366943
71,6447,0.435997
71,6062,0.463565
71,5746,0.494589
72,9513,0.022239
72,15678,0.108072
72,2154,0.182868
72,4458,0.193507
72,11542,0.193509
73,7187,0.011119
73,10989,0.022239
73,7115,0.075851
73,3495,0.093385
73,3137,0.133434
74,11601,0.133434
74,10421,0.143387
74,19689,0.153323
74,19688,0.153323
74,15223,0.172722
75,1524,0.133434
75,8613,0.306478
75,19114,0.320333
75,11360,0.380818
75,6851,0.396095
76,15593,0.093629
76,8512,0.125261
76,12950,0.15067
76,9371,0.154318
76,11733,0.164781
77,950,0.078552
77,17715,0.151086
77,13729,0.152309
77,976,0.164787
77,18036,0.183017
78,4564,0.164268
78,5557,0.216257
78,10715,0.242097
78,109,0.300217
78,2356,0.320145
79,8809,0.166792
79,3292,0.169259
79,18427,0.229792
79,20020,0.229792
79,3220,0.232203
80,6774,0.087023
80,18217,0.111195
80,2105,0.116223
80,3261,0.124939
80,3718,0.143372
81,4206,0.116309
81,12324,0.229151
81,6113,0.231566
81,16451,0.245237
81,15797,0.259023
82,2945,0.116625
82,13540,0.17298
82,14868,0.183052
82,11756,0.252111
82,8004,0.255991
83,17912,0.100075
83,3427,0.100075
83,18359,0.144553
83,1323,0.153111
83,19335,0.153111
84,6724,0.066717
84,18820,0.075915
84,16539,0.153115
84,19591,0.15664
84,19197,0.15664
85,19331,0.022239
85,19387,0.033358
85,6248,0.066717
85,19734,0.088956
85,18819,0.088956
86,14630,0.022239
86,13827,0.152476
86,7523,0.226541
86,15361,0.234831
86,220,0.288037
87,10068,0.075727
87,15386,0.077836
87,15101,0.111195
87,2934,0.134072
87,13483,0.153482
88,3310,0.055597
88,16439,0.116597
88,16391,0.187324
88,3078,0.224314
88,10561,0.247283
89,90,0.0
89,7169,0.081951
89,13407,0.093243
89,386,0.124973
89,15957,0.152996
90,90,0.0
90,7169,0.081951
90,13407,0.093243
90,386,0.124973
90,15957,0.152996
91,17550,0.108089
91,8449,0.108089
91,522,0.153066
91,5645,0.168987
91,16223,0.177912
92,1168,0.224297
92,676,0.226251
92,17406,0.334181
92,7002,0.341285
92,7028,0.430941
93,6257,0.075403
93,1701,0.100075
93,17042,0.180991
93,18349,0.200151
93,8406,0.226481
94,425,0.631095
94,15615,0.807127
94,5702,0.814845
94,17727,0.934037
94,18128,0.935234
95,8642,0.208524
95,12275,0.244629
95,6395,0.255748
95,3157,0.320492
95,13072,0.379816
96,8660,0.055597
96,7264,0.162815
96,16168,0.180187
96,13865,0.286873
96,10927,0.340479
97,9090,0.011119
97,2383,0.022239
97,3835,0.087083
97,17256,0.093254
97,4043,0.100282
98,16331,0.093144
98,7074,0.100075
98,5061,0.245512
98,16837,0.311346
98,10534,0.448384
99,14940,0.077836
99,12058,0.078233
99,10951,0.088956
99,17806,0.156466
99,18301,0.162854
100,5624,0.182966
100,5647,0.26797
100,4404,0.308154
100,20237,0.380144
100,8436,0.40701
101,1440,0.066717
101,11821,0.08227
101,7022,0.108231
101,14964,0.133434
101,3917,0.150817
102,12452,0.022239
102,13647,0.077836
102,5711,0.078087
102,14078,0.078087
102,15852,0.107988
103,3198,0.011119
103,3797,0.152217
103,4872,0.177912
103,7641,0.180804
103,6554,0.180806
104,9429,0.133434
104,7726,0.306515
104,17885,0.352725
104,5075,0.414119
104,693,0.419027
105,9833,0.172762
105,18040,0.174256
105,2599,0.193043
105,17526,0.259013
105,14787,0.287906
106,17609,0.133434
106,15917,0.143512
106,5147,0.208414
106,7538,0.31594
106,12277,0.422541
107,2997,0.033358
107,13505,0.074861
107,784,0.081957
107,4275,0.081957
107,18969,0.149722
108,10898,0.033358
108,4556,0.108312
108,13873,0.111195
108,433,0.157067
108,14452,0.164752
109,10715,0.116388
109,4564,0.164268
109,5557,0.216257
109,8942,0.227621
109,13757,0.255748
110,18587,0.213876
110,15222,0.304791
110,15060,0.326058
110,6988,0.331159
110,16805,0.452836
111,18652,0.078073
111,20399,0.078073
111,7927,0.107979
111,50,0.116249
111,14880,0.133434
112,18969,0.011119
112,18327,0.044478
112,13505,0.075682
112,19170,0.081957
112,19780,0.087077
113,15669,0.066717
113,15640,0.108175
113,5585,0.155673
113,14671,0.169208
113,15363,0.303757
114,9581,0.0822
114,17641,0.172853
114,7389,0.22239
114,15446,0.229728
114,9846,0.234737
115,17761,0.033358
115,8532,0.125059
115,4107,0.134123
115,17036,0.153066
115,17736,0.164163
116,116,0.0
116,3927,0.074731
116,11577,0.200357
116,16782,0.22396
