node_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
0,0.55467933,-0.3784387,-1.3134909,-0.6262133,-0.13055241,0.22320434,-0.35991305,-0.089397974,-0.1702886,-0.44458532,-0.60705245,0.06906973,-0.8921359,-1.3383087,0.5124242,-0.21759592,0.0032450517,0.5593801,-0.3310678,0.14812188,-0.29368466,-0.2008255,0.4372168,-0.118690625,0.09375121,-0.15603799,0.5531887,-0.31195238,0.44305384,0.42777672,1.0094177,-0.29706237,0.101790026,1.1755806,-0.20205525,0.25763637,0.08892929,-0.08862117,0.7650248,0.58125913,0.72257805,-0.63854027,-0.6244347,-0.14769703,0.027905276,-0.17167276,0.08857348,0.19476189,-0.5599984,-0.5929817,-0.42857355,0.8046907,0.19390857,-1.046428,-1.2460933,0.17048901,0.29699332,-0.22291556,0.53648543,-0.43612367,1.1626318,0.71585923,-0.01910978,1.5093533
1,0.06472997,-0.12951766,-0.80222094,-0.2727714,-0.035176106,0.72296894,-1.2529949,1.1163647,-0.035825547,-0.09896676,0.31408888,0.59068996,-1.2483128,-0.71343374,0.36475098,0.111988075,0.90312326,0.6108206,-0.22888345,1.2076348,-0.044317026,-0.23046607,-0.69428706,0.31543785,0.024897207,-0.05105018,-0.008300431,-1.2221836,-0.26649594,0.02468441,-0.32918507,-0.073556244,-0.82843333,-0.63291836,0.12318567,-1.3518138,-0.52629226,0.62951165,0.34519014,-0.033996142,-0.41518763,-0.5615372,0.33723694,0.5472977,0.2046544,0.16460721,-0.09788069,-0.43496984,-0.125154,0.2123466,0.6738112,0.2664163,0.17236364,-0.42374253,0.07000668,0.7920366,0.5699599,-2.1196392,0.39982682,-0.5465909,1.0186894,0.3961155,-0.29294014,0.26956022
2,0.84669673,-0.874547,-0.37266326,0.24409714,0.25688568,0.42427856,0.2804855,-0.40890354,-1.8607115,0.33877787,0.6873709,0.043283258,-0.02881378,0.22502306,0.9626801,-0.2313601,1.0602812,-0.025743559,-1.538529,0.72668386,-0.60903615,-0.46297228,-0.25417694,-0.40463513,-0.39140663,-0.06353689,-0.14652282,-0.28875062,0.18445435,0.003901737,0.5423277,-0.1680507,-1.2062726,-0.074175805,0.021355854,0.92549235,0.68466705,0.42901805,0.5450632,-0.416921,0.20364073,-0.5004813,-0.05922429,-0.664706,-0.16651858,0.27668688,-0.8004326,-0.08887522,-0.1624672,0.61536473,-0.2674159,0.840417,0.010768047,-0.7999896,0.27548897,0.18686442,0.11746142,-0.32156166,-0.35928872,0.058691602,1.9149586,0.4006573,-0.018538766,0.279807
3,1.0974833,-0.35577497,-0.9783489,-0.04212477,0.19054785,-0.0061598457,-0.08628441,-1.1406238,-0.75711024,0.4809291,-0.07638664,0.88198066,-0.8990854,-0.9834677,0.43736407,-0.2419959,-0.5298211,0.05456602,0.2958455,0.29773644,1.1573611,0.31556326,-0.67832834,-0.7423951,0.5679553,0.50760597,0.564015,-0.6731938,-0.21927963,-0.22766404,0.25576326,0.81425667,-0.1993964,0.4386955,-0.31939253,-0.6835984,0.5377806,0.98443085,0.129108,1.3893361,-0.7360628,-0.061817735,-0.3114937,-0.6921087,0.62201464,-0.14202183,-0.5081506,-0.76729643,-0.6714896,0.077216625,0.2682192,0.3514784,0.67487836,-0.8481158,0.11793904,0.4956276,0.018761188,-0.47810102,0.067938596,0.22137637,1.0053606,0.37002692,0.37032643,0.07264906
4,0.8971021,-0.6737821,-0.9153031,-0.8708937,-0.24670157,-0.04500618,-0.14249681,-1.1066763,-0.99496,0.32901824,-0.82528645,0.6721835,-1.4835788,0.11550622,0.2728011,-0.51372546,-0.63332736,1.1563029,-0.9284323,-0.34832048,-0.23908155,0.21199307,-0.14293155,0.3546742,-0.47383526,0.2513497,0.30973962,0.037889607,-0.4665144,0.10111695,0.89474565,0.054141123,-1.0292537,0.19896524,0.3977211,0.16561715,0.64923966,0.5971773,0.92933786,0.7980251,-0.11636445,-0.1523114,0.3562187,0.08069401,-0.54910713,-0.20487104,-0.70771676,0.30474523,-0.75608426,-0.19550954,0.036964726,0.21612038,-0.19225837,-1.0188432,-0.011373167,-1.0251721,1.0938649,0.104632765,0.15582687,0.14037006,0.75345814,0.045199856,1.0904068,0.19531123
5,0.6368576,0.08210014,-0.5826955,-1.1408588,-0.077244215,0.9518321,-0.31462595,0.45987305,-1.3125259,-0.51527905,1.1346406,0.38488308,-1.1997241,-0.38683322,-0.29182434,-0.2860248,0.2340195,0.77377737,0.057273038,0.58694065,-0.6179082,0.2636083,-0.665508,0.37502143,-0.030243214,0.12725984,0.2282034,-0.35088518,0.313744,0.30282462,-0.50783044,0.49248073,-0.8106188,1.271431,0.5007868,0.62792856,0.21429019,0.4791745,-0.12614493,-0.40264738,-0.6490919,-0.059267692,-0.1383443,-0.7285017,0.30748218,0.45747143,-0.36963618,1.463662,-0.035610568,0.39747617,0.3751069,0.60862887,0.43394014,-0.7651936,1.085163,0.3810177,0.030074505,-0.24755171,0.6122429,-0.07603477,0.13010092,2.2306101,0.5476886,-0.08293006
6,0.28577155,-1.0079311,-1.5313718,0.34239757,0.26769462,0.34559372,-0.14100745,0.048843514,-0.07367292,0.6742227,0.06890771,0.15428558,-0.4061003,-1.067683,-0.2831915,-0.38781065,0.31013137,0.55724776,0.4337475,1.211385,0.20425878,-0.42405337,0.51055264,-0.12116472,-0.079192795,-0.80966485,0.0806464,-0.7945003,-0.0074830092,-1.53791,-0.16972767,-0.54706025,-0.070507795,0.34909368,-0.69755024,-0.6694492,-0.1720037,0.08661524,1.0727139,0.8742519,-0.46266988,-0.28909308,0.088712506,0.082479104,1.1328866,0.5463702,-0.31806093,0.73725253,-0.397488,-0.16653748,-0.081708595,0.7014715,-0.05742516,-0.55780286,-0.14954346,-0.88281447,1.0274327,-0.8500384,0.63671786,-0.12557846,0.22164455,0.53616655,-0.10222684,0.6096937
7,0.06283463,-0.29584488,-0.47975475,0.053971935,-0.43046612,1.0069102,-0.1780262,-0.31368747,-0.9495107,0.24031489,0.3263808,0.22988163,-0.86462516,-1.1044493,-0.14895022,-0.99376166,0.4035557,0.5113712,-1.2050163,1.1223395,0.029397069,-0.0056825164,-0.5246894,0.2556935,-0.8853907,-0.19663128,-0.830521,-0.91318804,-0.9593992,-0.2722681,0.035508268,-0.5385494,0.07092982,-0.13931495,0.257175,-0.06027318,0.21847294,0.8798978,0.14800936,0.20789665,-0.8951692,0.6389309,1.2139599,-0.7952118,0.24227323,0.70130485,0.70606625,-1.0428874,0.15152621,0.3756453,-1.208699,0.98583055,-0.6573319,0.11176626,0.26932874,0.59898436,0.9487288,0.6867958,1.0628794,-0.70927477,0.527641,0.9345702,0.10463243,0.45734304
8,-0.046449885,-1.4715655,-1.1363957,-0.16443285,0.4105722,1.3931485,-0.5745311,-1.3095886,-1.0751778,0.089209795,-0.5293839,-0.17879157,-0.77842915,0.14550254,0.26273325,0.012885747,0.3605591,0.47837996,-1.2428514,0.66375774,-0.14981724,0.26946014,-0.7649361,0.30887213,0.35929617,0.03956023,-0.584169,-0.1489114,-0.18419355,-0.41321382,0.8754287,0.11949013,-1.0922828,0.11974304,-0.31595683,0.0134384725,0.45397684,0.44557258,0.1778707,0.48204044,0.39322016,-1.2405682,0.299297,-0.35267636,-0.11224652,-0.13656752,-0.014064079,-0.024742153,-0.24836685,0.07479563,-0.11040948,0.38734558,-0.009147542,-0.905876,-0.027511464,-0.11601675,0.43261966,0.048848066,0.8457883,-0.7898177,-0.060751367,-0.07282887,0.352924,1.068918
9,0.7801419,-0.3914682,-1.0136849,-1.3981699,0.29599354,1.2136414,-0.16382198,0.07000569,-0.69832116,0.35188982,0.49069235,-0.30125982,0.4804034,-0.30102253,-0.12295947,0.3206666,0.05144376,1.2301829,-0.2577734,0.010014248,-1.1054108,0.078293994,0.21112011,-0.15014942,0.82740974,0.31610548,0.4152984,-0.90551573,-0.9266432,-0.17078283,-0.44872192,0.15551251,-0.387322,-0.31706518,0.5483791,-0.12413297,0.2642573,0.30852345,0.9480796,0.6000432,-0.20710544,0.75302494,0.59874386,0.033058606,0.2980139,0.11177286,-0.47680557,0.16648239,0.94290555,-0.0683079,0.40430582,0.42743352,-0.95235515,-0.23205033,0.35731554,0.42232484,-0.07931714,0.14983685,0.09104451,-0.84385747,1.199709,1.4265918,0.11597074,1.0225066
