Feature,Importance
grade,0.19561855
sqft_living,0.15989079
lat,0.15105626
sqft_above,0.044944398
sqft_living15,0.029826624
view,0.026517255
yr_built,0.023069033
zipcode,0.022352181
long,0.02072317
sqft_lot15,0.014012385
sqft_basement,0.01258154
condition,0.011963427
waterfront,0.011855708
house_age,0.010501898
living_ratio,0.008148846
basement_ratio,0.008096515
yr_renovated,0.007950538
sqft_lot,0.007577744
emb_56,0.0060558743
floors,0.005737595
total_rooms,0.005419396
emb_13,0.004387594
bathrooms,0.0042165006
emb_19,0.0042108
renovation_age,0.0040801754
emb_34,0.0040175808
emb_54,0.0040022777
emb_53,0.003973327
emb_32,0.0039508026
emb_38,0.0038187173
emb_29,0.0037944522
emb_21,0.0037780735
emb_23,0.0037577597
emb_7,0.0037434124
emb_6,0.0037342298
emb_48,0.0037336852
emb_45,0.003686933
emb_2,0.003655361
emb_47,0.0036549224
emb_58,0.0036505407
emb_46,0.003592967
emb_36,0.0035335904
emb_44,0.0035006087
emb_37,0.003444155
emb_27,0.003417839
emb_31,0.0033692676
emb_63,0.0033653409
emb_61,0.003296692
emb_22,0.0032757358
emb_41,0.0032396177
emb_16,0.003226654
emb_60,0.0032194438
emb_49,0.0032119963
emb_35,0.0031905845
emb_33,0.00319026
emb_1,0.003187328
emb_55,0.0031756798
emb_50,0.003172722
emb_52,0.0031655072
emb_40,0.0031437941
emb_11,0.003134633
emb_12,0.0031333854
emb_14,0.0031196945
emb_17,0.0031040919
emb_51,0.0031034464
emb_57,0.003085421
emb_59,0.0030380734
emb_26,0.003035136
emb_5,0.003032963
emb_30,0.0030010391
emb_0,0.0029824015
emb_9,0.0029476543
emb_28,0.002882615
emb_10,0.002873056
emb_62,0.0028503966
emb_25,0.0028143504
emb_43,0.0027919644
emb_42,0.0027547074
emb_39,0.002753716
emb_20,0.0026867036
emb_24,0.0026441168
emb_8,0.0026291278
emb_18,0.0025317909
emb_15,0.0025297224
emb_3,0.0022759747
emb_4,0.0021696347
bedrooms,0.0017055161
node_id,0.000721955
is_renovated,0.0
